Date,Open,High,Low,Close,Adj Close,Volume
2026-05-11,219.44,219.44,219.44,219.44,0.0,0
2026-05-12,220.78,220.78,220.78,220.78,0.0,0
2026-05-13,225.83,225.83,225.83,225.83,0.0,0
2026-05-14,235.74,235.74,235.74,235.74,0.0,0
2026-05-15,225.32,225.32,225.32,225.32,0.0,0
2026-05-18,222.32,222.32,222.32,222.32,0.0,0
2026-05-19,220.61,220.61,220.61,220.61,0.0,0
2026-05-20,223.47,223.47,223.47,223.47,0.0,0
2026-05-21,219.51,219.51,219.51,219.51,0.0,0
2026-05-22,215.33,215.33,215.33,215.33,0.0,0
2026-05-26,214.86,214.86,214.86,214.86,0.0,0
2026-05-27,212.6,212.6,212.6,212.6,0.0,0
2026-05-28,214.25,214.25,214.25,214.25,0.0,0
2026-05-29,211.14,211.14,211.14,211.14,0.0,0
2026-06-01,224.36,224.36,224.36,224.36,0.0,0
2026-06-02,222.82,222.82,222.82,222.82,0.0,0
2026-06-03,214.75,214.75,214.75,214.75,0.0,0
2026-06-04,218.66,218.66,218.66,218.66,0.0,0
2026-06-05,205.1,205.1,205.1,205.1,0.0,0
