Date,Open,High,Low,Close,Adj Close,Volume
2026-03-11,404.88,404.88,404.88,404.88,0.0,0
2026-03-12,401.86,401.86,401.86,401.86,0.0,0
2026-03-13,395.55,395.55,395.55,395.55,0.0,0
2026-03-16,399.95,399.95,399.95,399.95,0.0,0
2026-03-17,399.41,399.41,399.41,399.41,0.0,0
2026-03-18,391.79,391.79,391.79,391.79,0.0,0
2026-03-19,389.02,389.02,389.02,389.02,0.0,0
2026-03-20,381.87,381.87,381.87,381.87,0.0,0
2026-03-23,383.0,383.0,383.0,383.0,0.0,0
2026-03-24,372.74,372.74,372.74,372.74,0.0,0
2026-03-25,371.04,371.04,371.04,371.04,0.0,0
2026-03-26,365.97,365.97,365.97,365.97,0.0,0
2026-03-27,356.77,356.77,356.77,356.77,0.0,0
2026-03-30,358.96,358.96,358.96,358.96,0.0,0
2026-03-31,370.17,370.17,370.17,370.17,0.0,0
2026-04-01,369.37,369.37,369.37,369.37,0.0,0
2026-04-02,373.46,373.46,373.46,373.46,0.0,0
2026-04-06,372.88,372.88,372.88,372.88,0.0,0
2026-04-07,372.29,372.29,372.29,372.29,0.0,0
2026-04-08,374.33,374.33,374.33,374.33,0.0,0
2026-04-09,373.07,373.07,373.07,373.07,0.0,0
2026-04-10,370.87,370.87,370.87,370.87,0.0,0
2026-04-13,384.37,384.37,384.37,384.37,0.0,0
2026-04-14,393.11,393.11,393.11,393.11,0.0,0
2026-04-15,411.22,411.22,411.22,411.22,0.0,0
2026-04-16,420.26,420.26,420.26,420.26,0.0,0
2026-04-17,422.79,422.79,422.79,422.79,0.0,0
2026-04-20,418.07,418.07,418.07,418.07,0.0,0
2026-04-21,424.16,424.16,424.16,424.16,0.0,0
2026-04-22,432.92,432.92,432.92,432.92,0.0,0
2026-04-23,415.75,415.75,415.75,415.75,0.0,0
2026-04-24,424.62,424.62,424.62,424.62,0.0,0
2026-04-27,424.82,424.82,424.82,424.82,0.0,0
2026-04-28,429.25,429.25,429.25,429.25,0.0,0
2026-04-29,424.46,424.46,424.46,424.46,0.0,0
2026-04-30,407.78,407.78,407.78,407.78,0.0,0
2026-05-01,414.44,414.44,414.44,414.44,0.0,0
2026-05-04,413.62,413.62,413.62,413.62,0.0,0
2026-05-05,411.38,411.38,411.38,411.38,0.0,0
2026-05-06,413.96,413.96,413.96,413.96,0.0,0
2026-05-07,420.77,420.77,420.77,420.77,0.0,0
2026-05-08,415.12,415.12,415.12,415.12,0.0,0
2026-05-11,412.66,412.66,412.66,412.66,0.0,0
2026-05-12,407.77,407.77,407.77,407.77,0.0,0
2026-05-13,405.21,405.21,405.21,405.21,0.0,0
2026-05-14,409.43,409.43,409.43,409.43,0.0,0
2026-05-15,421.92,421.92,421.92,421.92,0.0,0
2026-05-18,423.54,423.54,423.54,423.54,0.0,0
2026-05-19,417.42,417.42,417.42,417.42,0.0,0
2026-05-20,421.06,421.06,421.06,421.06,0.0,0
2026-05-21,419.09,419.09,419.09,419.09,0.0,0
2026-05-22,418.57,418.57,418.57,418.57,0.0,0
2026-05-26,416.03,416.03,416.03,416.03,0.0,0
2026-05-27,412.67,412.67,412.67,412.67,0.0,0
2026-05-28,426.99,426.99,426.99,426.99,0.0,0
2026-05-29,450.24,450.24,450.24,450.24,0.0,0
2026-06-01,460.52,460.52,460.52,460.52,0.0,0
2026-06-02,441.31,441.31,441.31,441.31,0.0,0
2026-06-03,427.34,427.34,427.34,427.34,0.0,0
2026-06-04,428.05,428.05,428.05,428.05,0.0,0
2026-06-05,416.67,416.67,416.67,416.67,0.0,0
